Entry;Description
Respective name of the street, square or alley;This field specifies the name of the street, square or alley as given in the late 2010s. So, the dataset considers possible changes in the naming of streets and squares since the late 1920s.
Blank (“”);The name of the street, square or alley in the late 1920s does not exist in the late 2010s.
