Entry;Description
Respective address;The address corresponds to ADR.1920s and has been verified by the address register of 2018. It is noted that the street name between ADR.2010S and ADR.1920S might be not identical because street name might have changed between the late 1920s and late 2010s.
Blank (“”);This indicates that the ADR.1920s could not be verified by an entry in the address register of the late 2010s. Geotagging the ADR.1920s needs to be done manually by screening historical literature. It is noted that addresses without “BN.1920s” are also left blank.
